Date,Transmitter,Latitude,Longitude
11/22/2015,A69-9001-21051,32.36,-80.32
11/22/2015,A69-9001-21043,32.15,-80.59
11/24/2015,A69-9001-21048,32.36,-80.32
11/26/2015,A69-9001-21043,31.08,-81.15
11/28/2015,A69-9001-21051,30.93,-81.21
12/1/2015,A69-9001-21048,31.12,-81.26
12/22/2015,A69-9001-21046,32.05,-80.42
12/28/2015,A69-9001-21047,28.31,-80.46
12/29/2015,A69-9001-21046,32.05,-80.41
1/15/2016,A69-9001-21046,32.05,-80.42
1/27/2016,A69-9001-21051,28.68,-80.43
3/13/2016,A69-9001-21046,31.38,-80.83
10/30/2016,A69-9001-21043,32.43,-80.38
11/9/2016,A69-9001-21055,32.65,-80.26
11/10/2016,A69-9001-21054,32.65,-80.26
11/10/2016,A69-9001-21053,32.65,-80.26
11/10/2016,A69-9001-21057,32.65,-80.26
11/10/2016,A69-9001-21052,32.65,-80.26
11/10/2016,A69-9001-21058,32.26,-80.66
11/13/2016,A69-9001-21054,32.36,-80.32
11/14/2016,A69-9001-21053,32.09,-80.58
11/14/2016,A69-9001-21051,32.43,-80.38
11/15/2016,A69-9001-21057,32.36,-80.32
11/16/2016,A69-9001-21052,32.1,-80.59
11/16/2016,A69-9001-21048,32.55,-79.93
11/17/2016,A69-9001-21043,31.12,-81.26
11/18/2016,A69-9001-21048,32.4,-80.36
11/22/2016,A69-9001-21057,32.1,-80.59
11/22/2016,A69-9001-21053,32.09,-80.58
11/22/2016,A69-9001-21056,31.08,-81.15
11/23/2016,A69-9001-21046,32.54,-79.91
11/23/2016,A69-9001-21051,30.93,-81.24
11/23/2016,A69-9001-21052,30.93,-81.24
11/26/2016,A69-9001-21058,31.09,-81.19
11/28/2016,A69-9001-21054,30.71,-81.45
11/28/2016,A69-9001-21048,31.11,-81.36
12/25/2016,A69-9001-21046,31.37,-80.83
12/27/2016,A69-9001-21057,31.37,-80.83
1/5/2017,A69-9001-21053,31.09,-81.19
1/13/2017,A69-9001-21057,28.7,-80.54
2/26/2017,A69-9001-21055,31.08,-81.3
10/29/2017,A69-9001-14032,32.6,-80.24
10/29/2017,A69-9001-12586,32.6,-80.24
10/30/2017,A69-9001-12591,32.58,-80.22
10/31/2017,A69-9001-12587,32.58,-80.22
10/31/2017,A69-9001-12586,32.43,-80.38
10/31/2017,A69-9001-12591,32.43,-80.38
11/1/2017,A69-9001-12587,32.45,-80.41
11/5/2017,A69-9001-14029,32.58,-80.22
11/9/2017,A69-9001-12587,32.45,-80.41
11/10/2017,A69-9001-12584,32.62,-80.27
11/10/2017,A69-9001-21055,32.62,-80.27
11/10/2017,A69-9001-21051,32.45,-80.41
11/11/2017,A69-9001-12592,32.6,-80.24
11/11/2017,A69-9001-14030,32.58,-80.22
11/11/2017,A69-9001-12590,32.6,-80.24
11/11/2017,A69-9001-14031,32.58,-80.22
11/11/2017,A69-9001-21046,32.63,-80.27
11/11/2017,A69-9001-21052,32.63,-80.27
11/11/2017,A69-9001-12586,32.27,-80.74
11/12/2017,A69-9001-12583,32.63,-80.27
11/12/2017,A69-9001-12588,32.63,-80.28
11/12/2017,A69-9001-21054,32.58,-80.22
11/12/2017,A69-9001-12589,32.58,-80.22
11/12/2017,A69-9001-14032,32.09,-80.58
11/12/2017,A69-9001-21057,32.62,-80.27
11/12/2017,A69-9001-21043,32.6,-80.24
11/13/2017,A69-9001-21048,32.58,-80.22
11/13/2017,A69-9001-14031,32.15,-80.59
11/13/2017,A69-9001-12590,32.36,-80.33
11/13/2017,A69-9001-21043,32.41,-80.36
11/14/2017,A69-9001-21054,32.09,-80.58
11/14/2017,A69-9001-12584,32.1,-80.59
11/14/2017,A69-9001-12591,31.1,-81.23
11/14/2017,A69-9001-12585,32.6,-80.24
11/15/2017,A69-9001-12583,32.09,-80.58
11/15/2017,A69-9001-14029,32.66,-79.67
11/16/2017,A69-9001-14032,31.09,-81.19
11/18/2017,A69-9001-12588,31.1,-81.21
11/19/2017,A69-9001-21057,32.09,-80.58
11/19/2017,A69-9001-12592,31.08,-81.17
11/19/2017,A69-9001-12587,31.1,-81.34
11/20/2017,A69-9001-21051,31.1,-81.23
11/21/2017,A69-9001-12585,32.67,-79.69
11/22/2017,A69-9001-12591,31.1,-81.34
11/23/2017,A69-9001-21046,32.09,-80.58
11/26/2017,A69-9001-14032,31.08,-81.17
11/28/2017,A69-9001-21048,29.64,-81.19
12/6/2017,A69-9001-21046,31.1,-81.21
12/8/2017,A69-9001-12590,31.1,-81.21
12/9/2017,A69-9001-12589,29.64,-81.19
12/21/2017,A69-9001-12590,29.61,-81.17
12/24/2017,A69-9001-21046,29.66,-81.2
12/25/2017,A69-9001-14030,29.08,-80.9
12/28/2017,A69-9001-14030,28.48,-80.44
1/20/2018,A69-9001-14032,28.43,-80.3
1/21/2018,A69-9001-21054,28.68,-80.43
1/21/2018,A69-9001-21051,28.68,-80.43
1/24/2018,A69-9001-12587,28.31,-80.46
1/25/2018,A69-9001-14031,28.4,-80.42
1/26/2018,A69-9001-12591,28.68,-80.43
2/2/2018,A69-9001-12590,28.43,-80.3
2/3/2018,A69-9001-21048,28.68,-80.43
2/4/2018,A69-9001-12592,28.7,-80.54
2/4/2018,A69-9001-12586,28.43,-80.3
2/5/2018,A69-9001-21052,28.68,-80.43
2/6/2018,A69-9001-12584,28.43,-80.42
2/9/2018,A69-9001-12588,28.59,-80.51
2/12/2018,A69-9001-21057,29.08,-80.9
2/16/2018,A69-9001-12589,29.08,-80.9
3/2/2018,A69-9001-21057,29.61,-81.17
3/11/2018,A69-9001-21053,29.62,-81.18
3/13/2018,A69-9001-14029,31.07,-81.14
3/18/2018,A69-9001-21055,29.68,-81.2
3/18/2018,A69-9001-21057,28.41,-80.58
10/9/2018,A69-1601-47126,32.63,-80.27
10/19/2018,A69-1601-47126,32.45,-80.41
10/25/2018,A69-9001-14035,32.6,-80.24
10/25/2018,A69-9001-14032,32.58,-80.22
10/25/2018,A69-9001-21053,32.6,-80.24
10/25/2018,A69-9001-21051,32.6,-80.24
10/26/2018,A69-9001-12587,32.62,-80.27
10/26/2018,A69-9001-12591,32.58,-80.22
10/26/2018,A69-9001-12586,32.6,-80.24
10/26/2018,A69-9001-9833,32.58,-80.22
10/27/2018,A69-9001-21051,32.42,-80.36
10/28/2018,A69-9001-21053,32.47,-80.45
10/28/2018,A69-1601-47126,32.36,-80.32
10/29/2018,A69-9001-12587,32.45,-80.41
10/29/2018,A69-9001-14032,32.36,-80.32
10/29/2018,A69-9001-12585,32.6,-80.24
10/29/2018,A69-9001-12591,32.41,-80.36
10/30/2018,A69-9001-14035,32.27,-80.71
10/30/2018,A69-9001-9838,32.58,-80.22
10/31/2018,A69-9001-12584,32.58,-80.22
10/31/2018,A69-9001-9838,32.42,-80.36
11/3/2018,A69-9001-12584,32.4,-80.36
11/3/2018,A69-9001-12586,32.27,-80.71
11/4/2018,A69-9001-21053,32.27,-80.71
